instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID_cor,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,persID,diocese,diocese_reg
﻿cle.oh.0050,﻿church,﻿St. John's,English,,,,﻿Defiance County,﻿Defiance County,﻿Defiance,﻿Defiance,﻿OH,,41.284493,-84.35578,,,,﻿j_vestrehalt_001,﻿Rev.,﻿J. Vestrehalt,,,"﻿who once a month attends Poplar Ridge, and occasionally Clarkesville Junction and Hicksville",,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0052,﻿church,[Unnamed Institution],English,﻿church not dedicated,,,﻿Van Wert County,﻿Allen County,﻿Delphos,﻿Delphos,﻿OH,,40.843571,-84.33453,,,,﻿w_breideck_001,﻿Rev.,﻿W. Breideck,,,﻿who attends section sixteen once a month,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0055,﻿church,﻿St. John's,English,,,,﻿Columbiana County,﻿Columbiana County,﻿Dunganan,﻿Dungannon,﻿OH,,40.734227,-80.878695,,,,﻿phi_flum_001,﻿Rev.,﻿Philip Flum,,,﻿who attends also East Liverpool once a month,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0054,﻿church,﻿St. Michael's,English,,,,﻿Wayne County,﻿Wayne County,﻿Doylestown,﻿Doylestown,﻿OH,,40.970055,-81.696517,,,,﻿e_w_lendesmith_001,﻿Rev. Mr.,﻿Lindersmith,,,﻿who attends Bristol and Canal Fulton twice a month,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0066,﻿church,﻿St. Bonifacius',English,,,,﻿Sandusky County,﻿Sandusky County,﻿Fremont,﻿Fremont,﻿OH,,41.35033,-83.121863,,,,﻿rose_001,﻿Rev. Mr.,﻿Rose,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0064,﻿church,[Unnamed Institution],English,﻿church not dedicated,,,﻿Putnam County,﻿Putnam County,﻿Fort Jennings,﻿Fort Jennings,﻿OH,,40.906439,-84.296616,,,,﻿boehne_001,﻿Rev.,﻿C. Boehne,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0074,﻿church,﻿St. Peter's,English,,,,﻿Putnam County,﻿Putnam County,﻿Glandorf,﻿Glandorf,﻿OH,,41.030343,-84.079542,,,,﻿a_schelbert_001,﻿Rev.,﻿A. Schelbert,﻿C.PP.S.,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0074,﻿church,﻿St. Peter's,English,,,,﻿Putnam County,﻿Putnam County,﻿Glandorf,﻿Glandorf,﻿OH,,41.030343,-84.079542,,,,﻿a_stieffater_001,﻿Rev.,﻿A. Stieffater,﻿C.PP.S.,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0077,﻿church,﻿Sacred Heart of Mary,English,,,,﻿Stark County,﻿Stark County,﻿Harrisburgh,﻿Harrisburg,﻿OH,,40.868468,-81.251883,,,,﻿l_grevin_001,﻿Rev.,﻿L. Grevin,,,﻿who attends Strasburgh,,,﻿Sacred Heart of Mary,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0057,﻿church,[Unnamed Institution],English,,,,﻿Lorain County,,﻿Illyria,,﻿OH,,41.364774,-82.105661,,,,﻿m_haley_001,﻿Rev.,﻿M. Haley,,,﻿who visits Laporte twice a month,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0096,﻿church,﻿St. Louis,English,,,,﻿Stark County,﻿Stark County,﻿Louisville,﻿Louisville,﻿OH,,40.838214,-81.259599,,,,﻿f_darcy_001,﻿Rev.,﻿Florentine Darcy,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0087,﻿church,﻿St. Martin's and Queen of All Saints,English,,,,﻿Medina County,﻿Medina County,﻿Liverpool,﻿Valley City,﻿OH,,41.237664,-81.931271,,,,﻿j_albrecht_001,﻿Rev.,﻿J. Albrecht,﻿C.PP.S.,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
